item	target-relation	LC_vector	AC_vector
salesperson@N@SBJ send@V@ROOT  questionnaire@N@OBJ	RECIPIENT	None	205.100 254.505 137.094 -435.324 -88.953 -102.521 -73.412 -149.037 -290.844 -143.855
employer@N@SBJ offer@V@ROOT  job@N@OBJ	RECIPIENT	None	8000.523 9300.917 6359.596 -15646.249 -4235.409 -3859.290 -3607.360 -5240.093 -12870.824 -6544.287
employee@N@SBJ pass@V@ROOT  report@N@OBJ	RECIPIENT	None	20.571 25.466 14.024 -43.897 -8.772 -10.351 -6.936 -15.673 -29.572 -14.471
teacher@N@SBJ lend@V@ROOT  book@N@OBJ	RECIPIENT	None	33580.499 39104.464 26246.227 -65540.206 -17614.914 -15808.509 -15138.698 -21915.093 -53148.153 -27081.550
pusher@N@SBJ sell@V@ROOT  drug@N@OBJ	RECIPIENT	None	0.325 0.052 0.080 0.069 -0.132 -0.052 -0.020 0.108 0.018 0.062
priest@N@SBJ promise@V@ROOT  salvation@N@OBJ	RECIPIENT	None	-0.176 -0.069 0.017 -0.074 -0.137 0.240 -0.309 -0.190 -0.075 -0.143
hostess@N@SBJ explain@V@ROOT  procedure@N@OBJ	RECIPIENT	None	140002.124 160948.240 109515.954 -269717.965 -73813.646 -64363.536 -63956.406 -89876.885 -221282.031 -113045.029
child@N@SBJ throw@V@ROOT  ball@N@OBJ	RECIPIENT	None	2086.846 2445.552 1461.225 -4143.238 -982.376 -935.946 -860.308 -1384.188 -3009.458 -1531.184
librarian@N@SBJ put@V@ROOT  book@N@OBJ	RECIPIENT	None	97149.281 108996.809 76080.535 -182646.912 -51717.564 -42790.759 -45450.711 -60459.494 -153150.654 -78623.491
reporter@N@SBJ bring@V@ROOT  news@N@OBJ	RECIPIENT	None	2184.707 2578.374 1527.038 -4369.656 -1023.282 -995.245 -888.300 -1463.258 -3153.763 -1600.326
collector@N@SBJ donate@V@ROOT  painting@N@OBJ	RECIPIENT	None	-0.976 -0.030 1.013 -0.265 0.129 0.514 -1.562 -0.127 -0.749 -0.594
porter@N@SBJ load@V@ROOT  luggage@N@OBJ	RECIPIENT	None	None
mechanic@N@SBJ rent@V@ROOT  truck@N@OBJ	RECIPIENT	None	120172.618 139942.459 93994.522 -234243.795 -63160.260 -56282.468 -54391.161 -78349.325 -190219.037 -96996.550
programmer@N@SBJ load@V@ROOT  file@N@OBJ	RECIPIENT	None	0.181 0.057 0.584 -0.060 0.184 -0.235 0.374 -0.073 -0.234 -0.243
traveller@N@SBJ hand@V@ROOT  bag@N@OBJ	RECIPIENT	None	1267908.299 1433959.045 989246.986 -2403591.306 -670809.258 -565238.493 -587253.446 -797424.108 -1994812.776 -1022485.003
sergeant@N@SBJ assign@V@ROOT  mission@N@OBJ	RECIPIENT	None	4584630.304 5149547.736 3584201.018 -8630337.175 -2435872.322 -2021404.844 -2140016.375 -2857825.634 -7218219.294 -3704841.185
diplomat@N@SBJ carry@V@ROOT  message@N@OBJ	RECIPIENT	None	2660636.595 2975353.285 2082904.401 -4985556.002 -1417718.537 -1164477.152 -1248421.906 -1648905.671 -4191148.849 -2153115.001
witness@N@SBJ report@V@ROOT  crime@N@OBJ	RECIPIENT	None	2574.393 1434.464 1973.601 -2693.105 -1480.580 -323.997 -1548.180 -640.638 -3737.578 -2046.234
student@N@SBJ send@V@ROOT  email@N@OBJ	RECIPIENT	None	589942.474 660024.207 460950.282 -1106288.732 -313686.873 -258220.044 -276227.505 -365917.584 -927846.646 -476592.900
sculptor@N@SBJ teach@V@ROOT  art@N@OBJ	RECIPIENT	None	34840375.233 38904735.065 27289309.166 -65185545.928 -18583288.067 -15212458.000 -16376245.490 -21550626.610 -54894717.112 -28209222.046
demonstrator@N@SBJ throw@V@ROOT  stone@N@OBJ	RECIPIENT	None	2.577 -0.156 2.503 -1.750 -3.022 0.836 -2.748 -0.844 -2.234 -1.384
nurse@N@SBJ hand@V@ROOT  lancet@N@OBJ	RECIPIENT	None	124606139.224 139181260.181 97590610.483 -233203021.458 -66450471.000 -54431958.041 -58550189.754 -77103896.279 -196322372.858 -100880240.389
doctor@N@SBJ offer@V@ROOT  support@N@OBJ	RECIPIENT	None	29729344.360 33262110.765 23269765.762 -55735426.340 -15836019.309 -13021529.567 -13941640.409 -18436247.325 -46827101.718 -24054119.909
investor@N@SBJ rent@V@ROOT  land@N@OBJ	RECIPIENT	None	1554488488.667 1739333562.507 1216685893.023 -2914516814.335 -827984180.320 -680946273.937 -728911429.498 -964086929.592 -2448446912.776 -1257698350.624
beautician@N@SBJ spread@V@ROOT  cream@N@OBJ	RECIPIENT	None	10367983.315 11593846.755 8117400.638 -19426654.409 -5525133.076 -4537580.307 -4865404.169 -6425032.312 -16333226.099 -8390935.116
professor@N@SBJ donate@V@ROOT  book@N@OBJ	RECIPIENT	None	183743653.056 205607858.420 143802704.002 -344531099.165 -97858839.256 -80496899.248 -86146964.051 -113968909.233 -289394005.961 -148651131.648
jeweller@N@SBJ put@V@ROOT  necklace@N@OBJ	RECIPIENT	None	0.521 -0.296 0.801 -0.562 -0.560 0.156 -0.944 -0.243 -0.571 -0.562
hairstylist@N@SBJ spray@V@ROOT  foam@N@OBJ	RECIPIENT	None	None
patient@N@SBJ report@V@ROOT  symptom@N@OBJ	RECIPIENT	None	739.454 409.556 566.524 -771.106 -427.033 -91.606 -446.188 -184.006 -1071.368 -586.264
witness@N@SBJ explain@V@ROOT  circumstances@N@OBJ	RECIPIENT	None	2446747808.080 2737811372.482 1915020079.316 -4587627138.138 -1303198238.937 -1071878783.366 -1147237822.741 -1517549764.744 -3853801794.248 -1979571951.735
mechanic@N@SBJ spread@V@ROOT  coating@N@OBJ	RECIPIENT	None	20735966.606 23187693.486 16234801.266 -38853308.801 -11050266.159 -9075160.611 -9730808.347 -12850064.641 -32666452.198 -16781870.224
crew@N@SBJ load@V@ROOT  container@N@OBJ	RECIPIENT	None	0.265 0.626 0.702 -0.197 -0.496 0.145 -0.554 -0.338 -0.339 -0.155
boss@N@SBJ promise@V@ROOT  promotion@N@OBJ	RECIPIENT	None	60882.257 34332.263 51446.524 -56582.609 -40474.608 -3959.300 -43220.504 -13579.019 -95468.387 -53881.963
scientist@N@SBJ report@V@ROOT  finding@N@OBJ	RECIPIENT	None	160260699.801 180508756.070 125168087.023 -302541568.629 -84991919.576 -70966333.104 -74566266.126 -100259053.951 -252211211.617 -129381241.755
soldier@N@SBJ throw@V@ROOT  bomb@N@OBJ	RECIPIENT	None	105.866 -11.584 98.556 -72.343 -124.987 36.601 -113.755 -36.141 -95.193 -58.838
waiter@N@SBJ pour@V@ROOT  wine@N@OBJ	RECIPIENT	None	None
grandfather@N@SBJ tell@V@ROOT  story@N@OBJ	RECIPIENT	None	58409904.279 65260057.274 45742836.685 -109346059.541 -31144048.015 -25526749.039 -27437525.431 -36155796.986 -92025123.252 -47284626.359
professor@N@SBJ teach@V@ROOT  language@N@OBJ	RECIPIENT	None	3777124694.963 4224888116.719 2956598892.790 -7079379882.140 -2012250835.434 -1653694609.255 -1771768994.710 -2341562087.035 -5949469899.881 -3056271273.473
journalist@N@SBJ carry@V@ROOT  article@N@OBJ	RECIPIENT	None	0.084 0.366 0.438 -0.196 -0.290 -0.340 0.003 -0.049 -0.007 -0.251
blacksmith@N@SBJ pour@V@ROOT  metal@N@OBJ	RECIPIENT	None	None
priest@N@SBJ teach@V@ROOT  bible@N@OBJ	RECIPIENT	None	8195368136.147 9168261243.746 6414768832.888 -15362742662.467 -4365656671.421 -3588957148.856 -3843629384.971 -5081560459.772 -12908594574.620 -6631012366.434
traveller@N@SBJ hand@V@ROOT  bag@N@OBJ	RECIPIENT	None	698775439.794 781879841.387 546904177.038 -1310165445.301 -372179806.725 -306103228.384 -327645060.675 -433388638.880 -1100593792.588 -565341672.156
billionaire@N@SBJ donate@V@ROOT  money@N@OBJ	RECIPIENT	None	279863971568.721 313106312592.771 219054181011.649 -524655778936.888 -149077263493.300 -122571641084.090 -131247138681.019 -173544186350.905 -440813120933.033 -226438434811.160
salesperson@N@SBJ send@V@ROOT  questionnaire@N@OBJ	RECIPIENT	None	30414642716.390 34027578545.337 23805991404.790 -57018237987.541 -16201117637.182 -13320836809.084 -14263352072.274 -18860376870.190 -47905998534.258 -24608482351.641
bartender@N@SBJ hand@V@ROOT  drink@N@OBJ	RECIPIENT	None	332408443654.840 371888551840.463 260182293266.033 -623153915808.168 -177067538117.011 -145582219607.955 -155890438323.976 -206124593704.153 -523576255741.658 -268952993276.968
dealer@N@SBJ sell@V@ROOT  car@N@OBJ	RECIPIENT	None	30887503557.347 34556156357.070 24176194443.694 -57903924381.220 -16453130803.027 -13527642270.093 -14485321477.462 -19153272909.542 -48650857111.570 -24991168950.449
president@N@SBJ give@V@ROOT  speech@N@OBJ	RECIPIENT	None	915195600173.082 1023896676979.308 716340029004.792 -1715689478725.836 -487505993201.636 -400822957447.343 -429200032980.532 -567510071031.311 -1441523388886.303 -740487698189.046
farmer@N@SBJ spray@V@ROOT  pesticide@N@OBJ	RECIPIENT	None	None
bank@N@SBJ assign@V@ROOT  code@N@OBJ	RECIPIENT	None	873343750039.434 977072415895.758 683582187615.017 -1637228459528.751 -465212842487.570 -382492386502.254 -409573474491.793 -541556763197.784 -1375602892125.557 -706625601363.026
diplomat@N@SBJ carry@V@ROOT  message@N@OBJ	RECIPIENT	None	768361817295.516 859625649073.569 601409990960.221 -1440429356951.761 -409289803561.187 -336516751722.225 -360337954840.265 -476460860456.991 -1210245219439.484 -621683378611.026
student@N@SBJ send@V@ROOT  email@N@OBJ	RECIPIENT	None	2343992914573.315 2622402715369.911 1834683474621.867 -4394222064718.778 -1248595003342.518 -1026588422858.469 -1099261304620.560 -1453507007092.996 -3692018087714.167 -1896530324586.120
boss@N@SBJ assign@V@ROOT  job@N@OBJ	RECIPIENT	None	9291487679441.729 10395077488413.857 7272609074619.664 -17418483182501.758 -4949381047652.710 -4069342953526.752 -4357431420009.681 -5761629038213.016 -14635002657054.730 -7517767634961.793
mechanic@N@SBJ spread@V@ROOT  coating@N@OBJ	RECIPIENT	None	590349287388.405 660466021510.359 462077182099.818 -1106707898338.358 -314467325920.184 -258551099003.632 -276857138621.872 -366072985160.539 -929858476239.009 -477653721027.027
witness@N@SBJ explain@V@ROOT  circumstances@N@OBJ	RECIPIENT	None	1346016804395.414 1505883944453.841 1053552282378.493 -2523329812128.112 -716996827416.531 -589504532710.513 -631244553677.808 -834658029311.902 -2120109751801.940 -1089067348230.757
vandal@N@SBJ spray@V@ROOT  paint@N@OBJ	RECIPIENT	None	None
child@N@SBJ tell@V@ROOT  lie@N@OBJ	RECIPIENT	None	5797259124879.233 6485823833786.556 4537617906384.005 -10867951911757.473 -3088080364732.746 -2538994274590.977 -2718743732431.734 -3594865578568.455 -9131254348759.215 -4690580046964.063
soldier@N@SBJ throw@V@ROOT  bomb@N@OBJ	RECIPIENT	None	248.832 -23.427 226.643 -166.770 -294.650 86.407 -261.285 -83.919 -222.127 -133.970
chauffeur@N@SBJ carry@V@ROOT  passenger@N@OBJ	RECIPIENT	None	699542235715.717 782640391111.296 547542056455.964 -1311429675156.152 -372628603368.529 -306381620808.742 -328059653700.472 -433792039543.609 -1101846528196.709 -565999494208.858
crew@N@SBJ load@V@ROOT  container@N@OBJ	RECIPIENT	None	11.106 13.392 12.531 -23.382 -10.745 -9.420 -4.709 0.459 -12.151 -15.340
scientist@N@SBJ report@V@ROOT  finding@N@OBJ	RECIPIENT	None	428489865524135.500 479383603574018.000 335386460372448.188 -803277824767793.125 -228247550865383.688 -187663511019708.594 -200948939802629.594 -265705642654705.500 -674913493670799.250 -346692283787094.688
teacher@N@SBJ give@V@ROOT  homework@N@OBJ	RECIPIENT	None	110722089584971.453 123873105111431.766 86664110818623.031 -207567626141867.469 -58979330985038.758 -48492413345511.500 -51925341318987.453 -68658554131430.414 -174398153516016.594 -89585541604087.844
government@N@SBJ offer@V@ROOT  protection@N@OBJ	RECIPIENT	None	262096886937047.625 293227469264311.812 205147790933262.969 -491345802511537.188 -139613491740203.703 -114789309477015.625 -122915567149522.047 -162525793834203.375 -412828291215450.188 -212063285196341.719
waiter@N@SBJ pour@V@ROOT  wine@N@OBJ	RECIPIENT	None	None
student@N@SBJ send@V@ROOT  email@N@OBJ	RECIPIENT	None	838639411666230.125 938250440010326.875 656417179269255.750 -1572176904263940.500 -446724988689185.312 -367295826767896.500 -393295872382118.750 -520039889194551.688 -1320938802787335.250 -678544891389911.500
general@N@SBJ send@V@ROOT  soldier@N@OBJ	RECIPIENT	None	399904787320236.875 447404231053997.375 313012213748030.750 -749691731490607.375 -213020598333772.188 -175144816671973.062 -187542955025991.188 -247980744220468.531 -629889020241653.625 -323563802419126.375
porter@N@SBJ load@V@ROOT  luggage@N@OBJ	RECIPIENT	None	None
president@N@SBJ promise@V@ROOT  reform@N@OBJ	RECIPIENT	None	40747711.270 45317036.075 31955749.339 -75916944.868 -21790866.366 -17671375.854 -19243148.332 -25070271.768 -64231513.173 -33034270.470
farmer@N@SBJ sell@V@ROOT  corn@N@OBJ	RECIPIENT	None	8372827279804936.000 9367341929074510.000 6553547286033526.000 -15696363730675568.000 -4460016905216713.000 -3667026157279728.000 -3926587563069934.500 -5191997829597843.000 -13188012781393846.000 -6774466455476698.000
waiter@N@SBJ bring@V@ROOT  glass@N@OBJ	RECIPIENT	None	2742535205229899.000 3068284334429970.000 2146628701904282.500 -5141362576522714.000 -1460889199605235.000 -1201137566789769.250 -1286164383255091.750 -1700644130750719.500 -4319760475254452.000 -2218991187620440.000
doctor@N@SBJ offer@V@ROOT  support@N@OBJ	RECIPIENT	None	66500189906959808.000 74398999007086352.000 52050776078504960.000 -124666501135438336.000 -35423158948265088.000 -29124917800703348.000 -31186460414105808.000 -41236824041546168.000 -104744233597686656.000 -53805400413883720.000
doctor@N@SBJ offer@V@ROOT  support@N@OBJ	RECIPIENT	None	630040850712786432.000 704875999888588288.000 493143287870506560.000 -1181123717775352576.000 -335608744561354048.000 -275937184636578144.000 -295469162715508480.000 -390688633182492416.000 -992375418709896576.000 -509767075174284480.000
teacher@N@SBJ explain@V@ROOT  exercise@N@OBJ	RECIPIENT	None	2793222578466068.000 3124987490952351.000 2186303979365636.250 -5236376665797722.000 -1487890964024385.750 -1223333990198513.750 -1309937672896146.750 -1732071878681688.250 -4399599480819617.000 -2260003883716620.500
billionaire@N@SBJ donate@V@ROOT  money@N@OBJ	RECIPIENT	None	838349770901481984.000 937927167876881024.000 656190200046939648.000 -1571635295632736256.000 -446570397293325824.000 -367169447357376960.000 -393159611530274816.000 -519860856193044608.000 -1320482284358749184.000 -678310270863422720.000
professor@N@SBJ donate@V@ROOT  book@N@OBJ	RECIPIENT	None	2337102323166435840.000 2614698371802719232.000 1829288547484163072.000 -4381312740891954176.000 -1244922754342955520.000 -1023573464495014656.000 -1096027294857184000.000 -1449237621629698816.000 -3681163059370747392.000 -1890953583609111296.000
policeman@N@SBJ put@V@ROOT  criminal@N@OBJ	RECIPIENT	None	55559619086515672.000 62158884256626536.000 43487426473476968.000 -104156379045159712.000 -29595376566188064.000 -24333281424767716.000 -26055702983227308.000 -34452539644244216.000 -87511789629598752.000 -44953381087619816.000
president@N@SBJ promise@V@ROOT  reform@N@OBJ	RECIPIENT	None	40747711.270 45317036.075 31955749.339 -75916944.868 -21790866.366 -17671375.854 -19243148.332 -25070271.768 -64231513.173 -33034270.470
manager@N@SBJ rent@V@ROOT  room@N@OBJ	RECIPIENT	None	2126680129790570.750 2379276466009706.000 1664589593274135.750 -3986828043905506.500 -1132837814665814.250 -931411649476984.125 -997349250498627.500 -1318750190095558.500 -3349729757986369.000 -1720702602303640.250
chauffeur@N@SBJ carry@V@ROOT  passenger@N@OBJ	RECIPIENT	None	5102891389570345.000 5708993804107618.000 3994119939853959.000 -9566260313252352.000 -2718200550661906.500 -2234892467135605.000 -2393099572761598.000 -3164297929032862.000 -8037552213261617.000 -4128761033953144.500
jeweller@N@SBJ put@V@ROOT  necklace@N@OBJ	RECIPIENT	None	333357714519094080.000 372953305539759232.000 260924558840861792.000 -624938274270958208.000 -177572259397128384.000 -145999688548606272.000 -156334217899363904.000 -206715237865465344.000 -525070737777592640.000 -269720286525718880.000
