item	target-relation	LC_vector	AC_vector
school@N@SBJ encourage@V@ROOT child@N@OBJ	SENTENCE	-0.256 -0.129 0.015 -0.234 -0.177 0.522 -0.559 0.037 -0.465 -0.171	0.710 0.263 0.413 -0.237 -0.220 -0.271 -0.183 -0.095 -0.088 -0.170
committee@N@SBJ consider@V@ROOT matter@N@OBJ	SENTENCE	0.655 0.337 0.443 -0.262 -0.230 -0.253 -0.176 -0.107 -0.109 -0.146	0.707 0.267 0.415 -0.238 -0.221 -0.270 -0.182 -0.096 -0.089 -0.169
panel@N@SBJ discuss@V@ROOT issue@N@OBJ	SENTENCE	0.368 0.086 0.107 0.211 -0.012 0.344 -0.421 0.078 -0.688 -0.163	0.710 0.262 0.413 -0.237 -0.220 -0.271 -0.183 -0.095 -0.088 -0.171
committee@N@SBJ consider@V@ROOT matter@N@OBJ	SENTENCE	0.655 0.337 0.443 -0.263 -0.230 -0.253 -0.176 -0.107 -0.109 -0.146	0.713 0.258 0.411 -0.235 -0.220 -0.272 -0.183 -0.095 -0.087 -0.172
study@N@SBJ pose@V@ROOT problem@N@OBJ	SENTENCE	0.454 -0.027 0.409 -0.028 -0.195 0.039 -0.492 -0.453 -0.355 0.109	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
commodity@N@SBJ meet@V@ROOT requirement@N@OBJ	SENTENCE	0.715 0.254 0.409 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
charity@N@SBJ help@V@ROOT people@N@OBJ	SENTENCE	-0.148 -0.248 -0.135 0.022 0.194 0.069 -0.619 0.191 -0.366 -0.549	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
company@N@SBJ provide@V@ROOT system@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
government@N@SBJ use@V@ROOT power@N@OBJ	SENTENCE	0.656 0.337 0.442 -0.262 -0.229 -0.253 -0.176 -0.107 -0.109 -0.146	0.715 0.255 0.409 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
company@N@SBJ suffer@V@ROOT loss@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
firm@N@SBJ cause@V@ROOT injury@N@OBJ	SENTENCE	0.424 0.570 0.491 -0.339 -0.242 -0.149 -0.109 -0.124 -0.175 -0.033	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
customer@N@SBJ pay@V@ROOT price@N@OBJ	SENTENCE	0.332 -0.075 -0.050 -0.328 -0.350 -0.304 0.277 -0.403 -0.564 0.037	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
company@N@SBJ cut@V@ROOT cost@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
customer@N@SBJ pay@V@ROOT price@N@OBJ	SENTENCE	0.332 -0.075 -0.050 -0.328 -0.350 -0.304 0.277 -0.403 -0.564 0.037	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
graduate@N@SBJ begin@V@ROOT career@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
delegate@N@SBJ buy@V@ROOT land@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.409 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
agent@N@SBJ sell@V@ROOT property@N@OBJ	SENTENCE	0.715 0.255 0.409 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
delegate@N@SBJ buy@V@ROOT land@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
mother@N@SBJ leave@V@ROOT house@N@OBJ	SENTENCE	0.102 -0.196 0.129 -0.807 -0.038 -0.132 -0.416 -0.022 -0.062 0.296	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
design@N@SBJ reduce@V@ROOT amount@N@OBJ	SENTENCE	0.715 0.255 0.409 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
company@N@SBJ cut@V@ROOT cost@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
doctor@N@SBJ use@V@ROOT test@N@OBJ	SENTENCE	0.661 0.330 0.440 -0.260 -0.229 -0.255 -0.177 -0.106 -0.107 -0.148	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
physician@N@SBJ pass@V@ROOT time@N@OBJ	SENTENCE	0.700 0.247 0.291 0.019 -0.202 -0.159 -0.290 -0.462 -0.001 -0.023	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
drug@N@SBJ produce@V@ROOT effect@N@OBJ	SENTENCE	0.655 0.337 0.443 -0.263 -0.230 -0.253 -0.176 -0.107 -0.109 -0.146	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
committee@N@SBJ consider@V@ROOT matter@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
drug@N@SBJ produce@V@ROOT effect@N@OBJ	SENTENCE	0.655 0.337 0.443 -0.263 -0.230 -0.253 -0.176 -0.107 -0.109 -0.146	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
employee@N@SBJ start@V@ROOT work@N@OBJ	SENTENCE	0.178 0.232 0.503 -0.362 -0.195 -0.179 -0.570 0.137 -0.338 -0.057	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
employee@N@SBJ start@V@ROOT work@N@OBJ	SENTENCE	0.178 0.232 0.503 -0.362 -0.195 -0.179 -0.570 0.137 -0.338 -0.057	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
graduate@N@SBJ begin@V@ROOT career@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
family@N@SBJ receive@V@ROOT letter@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
survey@N@SBJ collect@V@ROOT information@N@OBJ	SENTENCE	0.714 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
father@N@SBJ stretch@V@ROOT arm@N@OBJ	SENTENCE	0.172 0.300 0.300 -0.366 0.406 0.120 -0.356 -0.451 -0.304 -0.232	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
man@N@SBJ wave@V@ROOT hand@N@OBJ	SENTENCE	0.538 -0.034 0.171 0.115 0.081 0.185 -0.696 -0.184 -0.302 -0.127	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
firm@N@SBJ cause@V@ROOT injury@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
question@N@SBJ raise@V@ROOT head@N@OBJ	SENTENCE	0.715 0.255 0.409 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
force@N@SBJ win@V@ROOT battle@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
commodity@N@SBJ meet@V@ROOT requirement@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
force@N@SBJ win@V@ROOT battle@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
people@N@SBJ play@V@ROOT game@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
gentleman@N@SBJ close@V@ROOT eye@N@OBJ	SENTENCE	0.150 -0.228 0.261 -0.590 0.023 -0.044 0.223 -0.527 -0.422 -0.032	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
father@N@SBJ stretch@V@ROOT arm@N@OBJ	SENTENCE	0.172 0.300 0.300 -0.366 0.406 0.120 -0.356 -0.451 -0.304 -0.232	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
girl@N@SBJ like@V@ROOT people@N@OBJ	SENTENCE	-0.103 -0.172 -0.080 0.314 0.249 0.564 -0.487 -0.186 -0.436 -0.111	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
plan@N@SBJ increase@V@ROOT number@N@OBJ	SENTENCE	0.715 0.255 0.409 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
girl@N@SBJ like@V@ROOT people@N@OBJ	SENTENCE	-0.103 -0.172 -0.080 0.314 0.249 0.564 -0.487 -0.186 -0.436 -0.111	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
survey@N@SBJ collect@V@ROOT information@N@OBJ	SENTENCE	0.714 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
girl@N@SBJ like@V@ROOT people@N@OBJ	SENTENCE	-0.103 -0.172 -0.080 0.314 0.249 0.564 -0.487 -0.186 -0.436 -0.111	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
woman@N@SBJ ask@V@ROOT man@N@OBJ	SENTENCE	0.185 -0.066 -0.101 -0.168 0.295 0.135 -0.756 -0.466 -0.159 -0.062	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
government@N@SBJ use@V@ROOT power@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
authority@N@SBJ exercise@V@ROOT influence@N@OBJ	SENTENCE	0.614 0.380 0.461 -0.274 -0.233 -0.244 -0.176 -0.116 -0.121 -0.133	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
graduate@N@SBJ begin@V@ROOT career@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
company@N@SBJ suffer@V@ROOT loss@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
group@N@SBJ hold@V@ROOT meeting@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
man@N@SBJ lift@V@ROOT hand@N@OBJ	SENTENCE	0.464 0.110 0.039 -0.091 0.036 0.188 -0.710 -0.406 -0.220 0.097	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
man@N@SBJ hear@V@ROOT word@N@OBJ	SENTENCE	0.140 -0.245 0.121 -0.217 0.242 0.311 -0.575 0.227 -0.515 -0.236	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
people@N@SBJ remember@V@ROOT name@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
man@N@SBJ lift@V@ROOT hand@N@OBJ	SENTENCE	0.464 0.110 0.039 -0.091 0.036 0.188 -0.710 -0.406 -0.220 0.097	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
question@N@SBJ raise@V@ROOT head@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
man@N@SBJ shut@V@ROOT door@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
gentleman@N@SBJ close@V@ROOT eye@N@OBJ	SENTENCE	0.150 -0.228 0.261 -0.590 0.023 -0.044 0.223 -0.527 -0.422 -0.032	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
man@N@SBJ shut@V@ROOT door@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
page@N@SBJ provide@V@ROOT datum@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
man@N@SBJ shut@V@ROOT door@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
route@N@SBJ follow@V@ROOT road@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
man@N@SBJ wave@V@ROOT hand@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
employee@N@SBJ leave@V@ROOT company@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
man@N@SBJ wave@V@ROOT hand@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
employee@N@SBJ start@V@ROOT work@N@OBJ	SENTENCE	0.178 0.232 0.503 -0.362 -0.195 -0.179 -0.570 0.137 -0.338 -0.057	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
medication@N@SBJ achieve@V@ROOT result@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
drug@N@SBJ produce@V@ROOT effect@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
medication@N@SBJ achieve@V@ROOT result@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
man@N@SBJ lift@V@ROOT hand@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
medication@N@SBJ achieve@V@ROOT result@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
student@N@SBJ reach@V@ROOT level@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
member@N@SBJ attend@V@ROOT conference@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
case@N@SBJ require@V@ROOT attention@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
member@N@SBJ attend@V@ROOT conference@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
group@N@SBJ hold@V@ROOT meeting@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
member@N@SBJ attend@V@ROOT conference@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
people@N@SBJ share@V@ROOT interest@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
member@N@SBJ express@V@ROOT view@N@OBJ	SENTENCE	-0.173 0.174 0.209 -0.443 0.093 -0.153 0.268 0.110 -0.762 0.055	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
company@N@SBJ suffer@V@ROOT loss@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
member@N@SBJ express@V@ROOT view@N@OBJ	SENTENCE	-0.173 0.174 0.209 -0.443 0.093 -0.153 0.268 0.110 -0.762 0.055	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
pupil@N@SBJ achieve@V@ROOT end@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
mother@N@SBJ leave@V@ROOT house@N@OBJ	SENTENCE	0.102 -0.196 0.129 -0.807 -0.038 -0.132 -0.416 -0.022 -0.062 0.296	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
family@N@SBJ buy@V@ROOT home@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
mother@N@SBJ leave@V@ROOT house@N@OBJ	SENTENCE	0.102 -0.196 0.129 -0.807 -0.038 -0.132 -0.416 -0.022 -0.062 0.296	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
school@N@SBJ encourage@V@ROOT child@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
page@N@SBJ provide@V@ROOT datum@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
student@N@SBJ reach@V@ROOT level@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
panel@N@SBJ discuss@V@ROOT issue@N@OBJ	SENTENCE	0.368 0.086 0.107 0.211 -0.012 0.344 -0.421 0.078 -0.688 -0.163	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
project@N@SBJ present@V@ROOT problem@N@OBJ	SENTENCE	0.165 -0.034 0.555 0.273 -0.191 0.209 -0.600 -0.009 -0.187 -0.339	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
paper@N@SBJ address@V@ROOT question@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
